<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d2b269574476263476913283168e483fec8287572bafc3633a3722280b1d0d13
size 2120580
=======
	chr	start	stop	arm_location
RP11-365O16.6	chr1	224219613	224228043	q
MAN1C1	chr1	25617468	25786207	p
RP11-96K19.5	chr1	110963302	110964649	p
5S_rRNA	chr1	146539541	146539663	q
MIR5095	chr1	52934930	52935017	p
CDA	chr1	20588948	20618908	p
SNRNP40	chr1	31259568	31296782	p
CROCC	chr1	16740273	16972979	p
HES3	chr1	6244192	6245578	p
LRRC37A12P	chr1	32423214	32426789	p
GAPDHP75	chr1	189132350	189133292	q
RNU6-725P	chr1	238325687	238325788	q
RP11-297H3.3	chr1	170174403	170241287	q
RP11-403I13.4	chr1	143745249	143757452	q
NVL	chr1	224227334	224330387	q
HIST2H2AC	chr1	149886975	149887364	q
RNU6-949P	chr1	27675603	27675709	p
AC245407.1	chr1	146377104	146377184	q
RP11-339A11.2	chr1	80114943	80116918	p
LAMC1	chr1	183023460	183145592	q
RP4-717I23.3	chr1	93262186	93346025	p
RP5-1024N4.4	chr1	48227888	48229561	p
RP11-448G4.2	chr1	197735636	197736107	q
CAMTA1	chr1	6785324	7769706	p
NPPA-AS1_1	chr1	11843812	11843984	p
C1QB	chr1	22652762	22661538	p
RPS15AP12	chr1	220143964	220144351	q
MTND3P8	chr1	235541759	235542097	q
RP11-419N10.5	chr1	159759170	159759589	q
SLC25A24P1	chr1	108272943	108337853	p
CTA-21C21.1	chr1	88313153	88313302	p
RNU6-1026P	chr1	50582404	50582511	p
OR14L1P	chr1	247619643	247620570	q
GBP1P1	chr1	89407679	89426243	p
PTGS2	chr1	186671791	186680427	q
CH17-248H7.2	chr1	144168752	144168850	q
EPRS	chr1	219968601	220046658	q
DNAJC11	chr1	6634168	6701924	p
RAB3B	chr1	51907956	51990764	p
PFDN2	chr1	161100556	161118111	q
C1orf94	chr1	34166883	34219131	p
RP1-202O8.2	chr1	6443034	6447006	p
PMF1-BGLAP	chr1	156212982	156243332	q
LAMTOR5-AS1	chr1	110382819	110432360	p
RNU6-771P	chr1	13279125	13279231	p
OR4F29	chr1	450740	451678	p
RAB25	chr1	156061160	156070514	q
RP11-302I18.3	chr1	220359731	220360183	q
RGS8	chr1	182646104	182684576	q
AL445464.1	chr1	75842632	75842717	p
RP11-277B15.1	chr1	167162423	167162837	q
RN7SKP91	chr1	30843823	30844110	p
TNR	chr1	175315194	175743770	q
RP4-765C7.2	chr1	178411616	178411972	q
ARF1	chr1	228082660	228099212	q
RP11-3L21.2	chr1	224717504	224730662	q
RP4-580N22.2	chr1	235957879	235971825	q
RP11-175B9.3	chr1	202471864	202472117	q
RP11-269F20.1	chr1	243545532	243548329	q
PAQR7	chr1	25861210	25871253	p
RP11-404O13.1	chr1	158132044	158140639	q
AC239798.1	chr1	143828767	143828863	q
RP11-395N6.4	chr1	32421979	32422319	p
ELF3	chr1	202007945	202017188	q
PADI3	chr1	17249098	17284233	p
RP11-177F11.1	chr1	240400671	240401123	q
CICP13	chr1	222468094	222470882	q
IKBKE	chr1	206470476	206496889	q
POU5F1P4	chr1	155433178	155434262	q
RP11-541H12.1	chr1	165497724	165498348	q
BSND	chr1	54998933	55010883	p
TTC22	chr1	54779712	54801267	p
PKP1	chr1	201283452	201332993	q
BTF3P9	chr1	227434064	227434346	q
SGIP1	chr1	66533383	66748299	p
AQP10	chr1	154321090	154325325	q
RP4-781L3.1	chr1	25125053	25125454	p
AK4	chr1	65147549	65232145	p
SDC3	chr1	30869467	30908761	p
MIR942	chr1	117094643	117094728	p
RP11-564A8.4	chr1	206907619	206908229	q
SNRPGP10	chr1	205351247	205351471	q
RP11-67L3.5	chr1	54886875	54888001	p
FAM20B	chr1	179025804	179076562	q
S100A1	chr1	153627926	153632039	q
AZIN2	chr1	33081104	33120530	p
DESI2	chr1	244652935	244709033	q
RP1-224A6.3	chr1	22023994	22024968	p
OR10T2	chr1	158398522	158399466	q
CREG1	chr1	167529677	167553767	q
AMY1B	chr1	103687415	103696680	p
RBMXL1	chr1	88979456	88992960	p
GPR25	chr1	200873038	200874123	q
DPH5	chr1	100989623	101026088	p
CCNT2P1	chr1	111007700	111015530	p
RP11-306K13.1	chr1	241305580	241305882	q
RNF186	chr1	19814029	19815278	p
RP11-408E1.1	chr1	163422405	163423164	q
FMO11P	chr1	166763334	166792767	q
RP5-865N13.2	chr1	232160091	232185643	q
YY1AP1	chr1	155659443	155689000	q
CFHR4	chr1	196850241	196918972	q
RP5-998N21.10	chr1	143904301	143905964	q
SHC1	chr1	154962298	154974395	q
PRAMEF7	chr1	12916610	12920482	p
RP11-103C3.1	chr1	221508559	221510979	q
RNU6-828P	chr1	10163268	10163374	p
RP4-736I12.1	chr1	96390652	96391393	p
PRAMEF2	chr1	12857086	12861909	p
RP11-439L8.5	chr1	31538044	31540769	p
KCNQ4	chr1	40784012	40840452	p
GOLPH3L	chr1	150646225	150697144	q
RP11-344H11.4	chr1	26980165	26980975	p
C8B	chr1	56929210	56966140	p
RP11-196G18.1	chr1	149754301	149754710	q
MIR101-1	chr1	65058434	65058508	p
LRIG2	chr1	113073209	113132260	p
SNORD55	chr1	44775864	44775943	p
MIR205	chr1	209432133	209432242	q
RP4-781K5.9	chr1	234644666	234647571	q
MPZL1	chr1	167721192	167791919	q
AL590683.1	chr1	24227917	24228030	p
RP4-641G12.3	chr1	78666272	78666695	p
RP11-450I1.4	chr1	13245863	13248652	p
RNA5S6	chr1	228621447	228621565	q
RNU1-75P	chr1	119331397	119331525	p
RP4-593M8.1	chr1	92580476	92580821	p
RN7SL475P	chr1	59974757	59975054	p
DNAJA1P5	chr1	101893105	101894047	p
LYPLA2	chr1	23790970	23795539	p
RP11-251P6.1	chr1	105587575	105618958	p
YPEL5P1	chr1	182182730	182183096	q
RNU6-1319P	chr1	223976146	223976249	q
RNVU1-10	chr1	148362370	148362533	q
ZC3H12A	chr1	37474552	37484379	p
RP5-1024G6.7	chr1	53220663	53224253	p
RP11-90L20.2	chr1	201723294	201737506	q
SLC6A17	chr1	110150486	110202202	p
RP11-384C4.6	chr1	212297448	212299579	q
ASB17	chr1	75918873	75932431	p
RP11-568G11.5	chr1	220220291	220220593	q
RP11-293G6__B.8	chr1	235565761	235566937	q
RP11-465N4.5	chr1	201995696	201996352	q
RP11-74C13.3	chr1	204141408	204143009	q
HAPLN2	chr1	156619294	156625725	q
SNORA72	chr1	205731221	205731352	q
AL138930.1	chr1	160545648	160545745	q
AL137800.1	chr1	183510675	183510764	q
RP11-219C24.8	chr1	13273539	13275627	p
HEATR1	chr1	236549005	236604504	q
ARL8A	chr1	202133404	202144743	q
RP5-837O21.6	chr1	93924386	93924716	p
SNAP47	chr1	227728539	227781231	q
GPR89A	chr1	145607990	145670648	q
RP11-483I13.6	chr1	108200413	108202743	p
OR2T6	chr1	248387609	248388535	q
OR2T12	chr1	248294616	248295578	q
FMO3	chr1	171090877	171117819	q
NT5C1A	chr1	39659121	39672038	p
PRKAA2	chr1	56645322	56715335	p
TOE1	chr1	45339670	45343975	p
MIR137HG	chr1	97988000	98049863	p
Metazoa_SRP	chr1	33029232	33029576	p
CAPN8	chr1	223538007	223665734	q
POMGNT1	chr1	46188682	46220305	p
ZCCHC17	chr1	31296982	31364953	p
RP11-383G10.1	chr1	205134646	205134950	q
RP1-35C21.2	chr1	177393287	177597709	q
SNORD60	chr1	206080239	206080324	q
SNORA77	chr1	203729581	203729705	q
KIF26B	chr1	245154985	245709431	q
RP11-435D7.3	chr1	35739389	35743576	p
SPHAR	chr1	229304857	229305504	q
GMEB1	chr1	28668732	28719353	p
MIR7846	chr1	12166943	12167038	p
RNU1-8P	chr1	7219360	7219524	p
RP11-108M9.2	chr1	16855407	16859284	p
LINC00568	chr1	150515757	150518032	q
RP11-278H7.1	chr1	243917402	244047317	q
C1orf137	chr1	116694112	116706603	p
GAPDHP33	chr1	119596167	119597179	p
RNU6-41P	chr1	182982212	182982318	q
AMY2A	chr1	103616811	103625780	p
RP11-219C24.6	chr1	13305955	13308887	p
RP4-592A1.2	chr1	58630841	58631530	p
RP11-469A15.2	chr1	200473920	200478293	q
PDZK1IP1	chr1	47183593	47191044	p
RP4-738P11.3	chr1	168542737	168543354	q
RP4-552O12.1	chr1	84015865	84018371	p
AC115286.1	chr1	34175866	34175949	p
GLMN	chr1	92246402	92298987	p
RP11-378I13.1	chr1	56823679	56826920	p
RP1-35C21.1	chr1	177351586	177366272	q
IL19	chr1	206798870	206842981	q
FAM72A	chr1	206186179	206204414	q
ZNF687	chr1	151281618	151292180	q
PPIAL4C	chr1	146344006	146344790	q
NBPF8P	chr1	120436353	120467739	p
OR10J8P	chr1	159366161	159367089	q
C4BPA	chr1	207104262	207144972	q
MIXL1	chr1	226223618	226227054	q
TTLL10	chr1	1173884	1197935	p
AL121988.1	chr1	34778561	34778644	p
RP13-221M14.3	chr1	13128818	13131615	p
RP11-98D18.1	chr1	151701026	151708386	q
CACHD1	chr1	64470792	64693058	p
BCAN	chr1	156641390	156659532	q
ALG14	chr1	94974407	95072945	p
UBL4B	chr1	110112468	110113945	p
EFCAB7	chr1	63523372	63572693	p
HP1BP3	chr1	20742661	20787323	p
RNU6V	chr1	109591534	109591640	p
PIGV	chr1	26787472	26798398	p
ZBTB37	chr1	173868082	173903549	q
RPL7AP15	chr1	147223554	147224348	q
CRABP2	chr1	156699606	156705816	q
RP11-148B18.1	chr1	94247908	94249492	p
RABIF	chr1	202878957	202889135	q
RP11-575B7.3	chr1	60114875	60149679	p
CHIAP3	chr1	111353275	111367409	p
FABP3	chr1	31365625	31376850	p
FCGR2C	chr1	161581339	161605662	q
RP5-866L20.2	chr1	54524824	54524931	p
KIAA0040	chr1	175156987	175192999	q
MFAP2	chr1	16974502	16980835	p
AL592310.1	chr1	227645280	227645366	q
RP11-223A3.1	chr1	42335386	42338376	p
FAM229A	chr1	32361270	32364278	p
RP11-275O4.5	chr1	227509028	227520477	q
LAMTOR5P1	chr1	62038842	62039111	p
FNDC7	chr1	108712657	108742740	p
RP11-203F10.6	chr1	204346776	204347258	q
PCSK9	chr1	55039548	55064852	p
AC096645.1	chr1	203999245	203999343	q
DLEU2_5	chr1	63549133	63549216	p
H6PD	chr1	9234775	9271337	p
RP11-139I14.2	chr1	156388226	156395609	q
RP11-104L21.2	chr1	167457383	167458661	q
MIR7156	chr1	77060143	77060202	p
LINC01128	chr1	825138	859446	p
OR13Z3P	chr1	147482238	147482628	q
RP5-1097F14.3	chr1	231184098	231187627	q
RNU6-983P	chr1	194488103	194488205	q
KCNA3	chr1	110672465	110675033	p
HSD17B7P1	chr1	247827486	247828502	q
UBE2V1P8	chr1	40942251	40942515	p
RN7SL440P	chr1	94150738	94151080	p
OR2T11	chr1	248626178	248627128	q
GAPDHP46	chr1	92114803	92115796	p
RNA5SP47	chr1	44932323	44932431	p
THEM5	chr1	151847263	151853697	q
RP4-704D21.2	chr1	147001931	147003618	q
MIR4424	chr1	178677749	178677834	q
LBR	chr1	225401502	225428925	q
RP5-836J3.1	chr1	83790280	83801465	p
RNU6-1089P	chr1	245023015	245023118	q
CHIAP2	chr1	111280059	111286116	p
MRPS15	chr1	36455718	36464437	p
RP11-270C12.3	chr1	107505203	107505448	p
RP13-221M14.4	chr1	13104403	13105689	p
RP5-855F14.2	chr1	234565298	234570088	q
TMEM50A	chr1	25337917	25362361	p
RP4-604K5.3	chr1	86932199	86934891	p
RP11-337C18.9	chr1	147175602	147177740	q
PP2672	chr1	234757621	234760056	q
RP4-758J18.7	chr1	1420245	1422691	p
SNORA59A	chr1	12507246	12507397	p
AMY1A	chr1	103655290	103752946	p
RP1-202O8.3	chr1	6393555	6394391	p
AC243772.1	chr1	149737309	149737400	q
RP11-487E1.2	chr1	21073639	21073753	p
CHI3L2	chr1	111200771	111243440	p
RP11-193H5.1	chr1	237862175	237928321	q
VSIG8	chr1	159854316	159862657	q
RNU6-880P	chr1	42991438	42991544	p
RP5-1024G6.8	chr1	53242364	53244540	p
RP11-295G20.2	chr1	231522388	231528556	q
RP4-801G22.3	chr1	157636300	157640301	q
PALMD	chr1	99645943	99694541	p
RP11-435F13.2	chr1	240998451	240998794	q
RP11-397P13.7	chr1	203835585	203835912	q
DAP3	chr1	155687960	155739010	q
RP11-134G8.10	chr1	201464383	201465146	q
SPRR2D	chr1	153039725	153041931	q
RP5-1068B5.1	chr1	229425020	229425650	q
RP11-289I10.3	chr1	145269604	145269890	q
SNORA40	chr1	150600539	150600659	q
ADH5P3	chr1	240170155	240171291	q
RP11-495P10.6	chr1	148271884	148280749	q
LINC00622	chr1	119597702	119599271	p
RP11-513D4.1	chr1	242376923	242377432	q
RP5-864K19.4	chr1	38860000	38919396	p
RP11-56N19.5	chr1	11777077	11779619	p
SNORA58	chr1	154259727	154259862	q
RN7SKP285	chr1	103523562	103523879	p
SLC39A1	chr1	153959099	153968184	q
BTF3L4	chr1	52056125	52090716	p
HTR1D	chr1	23191895	23194729	p
RP5-1115A15.1	chr1	8424645	8434838	p
RP11-372M18.2	chr1	209367662	209379690	q
RP11-67L3.2	chr1	54792885	54794905	p
CHRM3-AS2	chr1	239703381	239730465	q
RP11-24P14.1	chr1	105927624	106023212	p
KCNK1	chr1	233614004	233672512	q
RNU2-15P	chr1	65415816	65416006	p
LRRC7	chr1	69568398	70151945	p
RP4-535B20.1	chr1	65066627	65067737	p
C1orf234	chr1	23010901	23015773	p
RP1-163M9.7	chr1	16701546	16705594	p
PLOD1	chr1	11934205	11975538	p
C1orf168	chr1	56718804	56819696	p
RP4-620F22.3	chr1	89289676	89290337	p
MIR5698	chr1	154104521	154104592	q
C1orf216	chr1	35713875	35719472	p
DUSP10	chr1	221701424	221742176	q
PRRC2C	chr1	171485551	171593511	q
RP4-543J13.2	chr1	114279011	114279275	p
EXTL1	chr1	26019884	26036464	p
MIR6740	chr1	202003124	202003236	q
SLC2A7	chr1	9003300	9026345	p
PIN1P1	chr1	69919322	69920317	p
SLC35E2	chr1	1724838	1745992	p
STK40	chr1	36339624	36385896	p
FAM71A	chr1	212624474	212626778	q
NCF2	chr1	183555563	183590876	q
PSAT1P3	chr1	79054945	79056055	p
RPA2	chr1	27891524	27914746	p
KIFAP3	chr1	169921326	170085208	q
PTBP2	chr1	96721665	96823738	p
PRKAB2	chr1	147155106	147172550	q
RNA5SP162	chr1	228558296	228558339	q
APOA1BP	chr1	156591762	156594299	q
OR14A2	chr1	247723099	247724043	q
MCL1	chr1	150574551	150579738	q
RP5-1097F14.1	chr1	231117831	231118325	q
RP11-556K13.1	chr1	101786340	101787219	p
SPOCD1	chr1	31790422	31816051	p
RP11-69E9.1	chr1	22835713	22836849	p
RP5-902P8.12	chr1	1249777	1251334	p
RN7SKP291	chr1	55376526	55376852	p
TMEM240	chr1	1535174	1540453	p
TRMT1L	chr1	185118098	185157072	q
RP4-784A16.1	chr1	53267935	53268601	p
RP5-1086K13.1	chr1	116493016	116499212	p
SZRD1	chr1	16352575	16398145	p
RP11-152L7.2	chr1	218043505	218059140	q
DCDC2B	chr1	32209094	32216196	p
LEPROT	chr1	65420587	65436007	p
RP11-410C4.2	chr1	220455154	220455312	q
RP4-591L5.2	chr1	30415825	30421108	p
RP11-426L16.3	chr1	112693688	112696621	p
C1orf220	chr1	178542752	178548889	q
LRRC40	chr1	70144805	70205620	p
LMX1A	chr1	165201867	165356715	q
RNVU1-19	chr1	120850819	120850985	p
HDAC1	chr1	32292086	32333635	p
C1orf159	chr1	1081818	1116361	p
RP11-466F5.8	chr1	165768929	165775176	q
RP11-291L19.1	chr1	45415020	45415344	p
C1QA	chr1	22636506	22639608	p
HSD3BP2	chr1	119439001	119446086	p
SLAMF6P1	chr1	162445549	162446566	q
TMEM59	chr1	54031663	54053504	p
RNA5SP75	chr1	204707320	204707430	q
RP11-392O17.2	chr1	219270774	219273387	q
FRRS1	chr1	99708703	99766631	p
CTSE	chr1	206009264	206023909	q
RP5-837O21.3	chr1	93926615	93927569	p
RNA5SP53	chr1	93488333	93488452	p
SPAG17	chr1	117953861	118185223	p
AC119674.1	chr1	56377333	56377418	p
RP5-1125N11.1	chr1	30810378	30815553	p
PLEKHN1	chr1	966497	975865	p
LZIC	chr1	9922113	9943407	p
RP11-32D17.4	chr1	197138748	197139307	q
SH3BP5L	chr1	248810446	248826633	q
RP3-395M20.8	chr1	2549920	2557031	p
IGSF21	chr1	18107746	18378483	p
AC114494.1	chr1	31428912	31430497	p
RP11-117D22.2	chr1	53366668	53368245	p
CDKN2C	chr1	50960745	50974633	p
RP11-345P4.11	chr1	1583510	1583909	p
KHDRBS1	chr1	32013829	32060850	p
MIR4671	chr1	234306467	234306539	q
F13B	chr1	197039191	197067267	q
ALX3	chr1	110059994	110070700	p
RP11-547I7.1	chr1	190264898	190362270	q
RP11-385F5.4	chr1	236540094	236550280	q
VDAC1P4	chr1	180434800	180435936	q
RP4-559A3.7	chr1	225886696	225924278	q
RPS15AP7	chr1	62190522	62190926	p
GS1-304P7.1	chr1	186580515	186581191	q
MIR1302-11	chr1	30366	30503	p
MATN1-AS1	chr1	30718504	30726827	p
S100A10	chr1	151982915	151994390	q
LPGAT1	chr1	211743457	211830772	q
CDC42SE1	chr1	151050971	151070325	q
RNU6-755P	chr1	164980035	164980137	q
AL162430.1	chr1	51188463	51188551	p
RP11-656D10.5	chr1	40514461	40515057	p
ACOT7	chr1	6264269	6394391	p
RD3	chr1	211476522	211492917	q
MTHFR	chr1	11785723	11806920	p
PIGC	chr1	172370189	172444086	q
C1orf110	chr1	162824458	162868815	q
SCCPDH	chr1	246724047	246768137	q
DEDD	chr1	161120974	161132688	q
FMOD	chr1	203340628	203351489	q
GJA9-MYCBP	chr1	38864501	38881617	p
CFHR1	chr1	196819757	196832189	q
RP11-532L16.1	chr1	200329161	200329677	q
RP11-85G21.3	chr1	157280716	157283068	q
FCRLA	chr1	161706972	161714352	q
RPL5P5	chr1	185226808	185227700	q
RP11-29H23.6	chr1	155590601	155591262	q
RP11-393M18.1	chr1	187536101	187536299	q
RNA5S11	chr1	228632631	228632749	q
AC104457.1	chr1	100378682	100378775	p
